epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7349,1.65038,1.60187,1.00904,0.70218,0.55643,0.58462,0.28174,1.64238,1.28145,1.01178,0.000329412,0.000329412,0.00703529
2,49.5661,1.63181,1.16653,1.02257,0.56192,0.50829,0.45969,0.20172,1.72544,3.09658,1.1137,0.000662727,0.000662727,0.00403528
3,63.133,1.66443,1.17752,1.04613,0.64377,0.55722,0.54786,0.23512,1.71431,1.69816,1.06394,0.00099597,0.00099597,0.00103519
4,76.5746,1.6973,1.17237,1.04028,0.68397,0.52099,0.54045,0.24504,1.75385,1.31158,1.11183,0.000999756,0.000999756,0.000999756
5,89.976,1.66994,1.11898,1.02958,0.6742,0.5738,0.58873,0.28889,1.66583,1.33888,1.03459,0.000999566,0.000999566,0.000999566
6,103.587,1.64568,1.08286,1.02287,0.37368,0.18863,0.15653,0.07045,2.17121,3.29915,1.30868,0.000999322,0.000999322,0.000999322
7,117.21,1.62134,1.07593,1.02416,0.72611,0.56827,0.60562,0.30752,1.5998,1.20161,1.04724,0.000999023,0.000999023,0.000999023
8,131.081,1.58701,1.03628,1.01054,0.70179,0.60063,0.62513,0.32806,1.58184,1.16147,1.02421,0.000998671,0.000998671,0.000998671
9,148.389,1.58337,1.0416,1.00894,0.71462,0.58169,0.6108,0.30185,1.65862,1.23104,1.02114,0.000998264,0.000998264,0.000998264
10,161.91,1.57839,1.04787,0.99935,0.73669,0.56117,0.61829,0.30783,1.61823,1.10713,1.03808,0.000997803,0.000997803,0.000997803
11,175.531,1.52673,0.98052,0.9814,0.72569,0.62641,0.66125,0.34603,1.57797,1.06663,1.00246,0.000997288,0.000997288,0.000997288
12,190.344,1.50303,0.96086,0.98408,0.74733,0.62097,0.65736,0.34884,1.50574,1.10082,0.9904,0.00099672,0.00099672,0.00099672
13,204.131,1.52081,0.96326,0.98459,0.75562,0.6345,0.68249,0.372,1.47821,1.02833,0.98016,0.000996097,0.000996097,0.000996097
14,217.601,1.47817,0.91228,0.9752,0.76746,0.62983,0.67513,0.34658,1.50783,1.00949,0.9809,0.00099542,0.00099542,0.00099542
15,234.096,1.48106,0.93621,0.97792,0.74704,0.64798,0.67827,0.35453,1.54682,1.02843,0.99835,0.00099469,0.00099469,0.00099469
16,248.927,1.49132,0.93395,0.97333,0.7651,0.60412,0.66437,0.35975,1.47427,1.00939,0.99273,0.000993906,0.000993906,0.000993906
17,262.482,1.48527,0.90121,0.97318,0.77984,0.6322,0.67739,0.35945,1.51314,1.01026,0.98701,0.000993068,0.000993068,0.000993068
18,275.802,1.48222,0.90714,0.9814,0.77587,0.65193,0.69499,0.35311,1.4942,0.99758,0.97561,0.000992177,0.000992177,0.000992177
19,289.446,1.44339,0.87144,0.96013,0.7526,0.63773,0.68413,0.3565,1.47804,1.0093,0.99094,0.000991232,0.000991232,0.000991232
20,302.909,1.4737,0.91293,0.96832,0.7714,0.63062,0.68655,0.36364,1.50051,0.95466,0.99443,0.000990234,0.000990234,0.000990234
21,316.828,1.45807,0.88828,0.95693,0.77156,0.62912,0.67946,0.36498,1.49485,0.99916,0.98767,0.000989183,0.000989183,0.000989183
22,330.711,1.42746,0.87443,0.95938,0.73975,0.56534,0.61893,0.33139,1.51473,1.1105,0.98645,0.000988079,0.000988079,0.000988079
23,344.085,1.39367,0.85686,0.94594,0.71808,0.66139,0.69096,0.37815,1.48033,0.97368,0.98307,0.000986922,0.000986922,0.000986922
24,361.798,1.42937,0.87869,0.96044,0.80119,0.64167,0.70045,0.36041,1.48378,0.97914,0.97074,0.000985711,0.000985711,0.000985711
25,375.018,1.40852,0.84128,0.93568,0.7808,0.64483,0.71292,0.38187,1.45682,0.97428,0.96689,0.000984449,0.000984449,0.000984449
26,388.851,1.39728,0.84117,0.94236,0.77436,0.63653,0.69494,0.38055,1.44896,0.95427,0.96786,0.000983133,0.000983133,0.000983133
27,402.248,1.41075,0.83188,0.94402,0.79392,0.63457,0.7076,0.38773,1.42711,0.92212,0.96062,0.000981765,0.000981765,0.000981765
28,415.868,1.40024,0.81844,0.94953,0.79551,0.62636,0.68302,0.37595,1.427,0.91946,0.97305,0.000980345,0.000980345,0.000980345
29,429.397,1.35311,0.79418,0.9391,0.76872,0.68035,0.73686,0.39406,1.42021,0.87193,0.95878,0.000978873,0.000978873,0.000978873
30,443.338,1.37146,0.81883,0.93038,0.78316,0.63569,0.6998,0.37374,1.4505,0.91512,0.9735,0.000977349,0.000977349,0.000977349
31,456.85,1.37199,0.81921,0.93008,0.81005,0.62431,0.69742,0.3815,1.45388,0.96128,0.98586,0.000975773,0.000975773,0.000975773
32,470.792,1.36222,0.80005,0.92573,0.78386,0.62431,0.68229,0.37807,1.41905,0.96695,0.96329,0.000974145,0.000974145,0.000974145
33,484.143,1.36955,0.81496,0.93685,0.80597,0.66226,0.71972,0.3858,1.46456,0.87527,0.97683,0.000972466,0.000972466,0.000972466
34,497.718,1.36666,0.81237,0.92719,0.77819,0.65351,0.70115,0.37239,1.48171,0.967,0.97937,0.000970736,0.000970736,0.000970736
35,511.217,1.34648,0.78103,0.92777,0.79128,0.66851,0.73078,0.39188,1.47787,0.89396,0.9732,0.000968955,0.000968955,0.000968955
36,524.571,1.36815,0.79768,0.93349,0.77032,0.67235,0.71842,0.38445,1.49204,0.94482,0.97435,0.000967122,0.000967122,0.000967122
37,538.539,1.34415,0.79507,0.92567,0.82879,0.64567,0.73066,0.40837,1.38224,0.86943,0.96079,0.000965239,0.000965239,0.000965239
38,552.049,1.31974,0.77088,0.92597,0.81535,0.64474,0.71555,0.39812,1.40889,0.86098,0.96242,0.000963306,0.000963306,0.000963306
39,567.495,1.31158,0.76619,0.92071,0.80561,0.67561,0.74655,0.4117,1.38749,0.86956,0.95021,0.000961322,0.000961322,0.000961322
40,580.98,1.31893,0.76041,0.9262,0.78033,0.69534,0.7399,0.40859,1.39597,0.89516,0.94424,0.000959289,0.000959289,0.000959289
41,594.619,1.33153,0.77154,0.9232,0.81396,0.65272,0.72417,0.40483,1.38792,0.86007,0.9558,0.000957205,0.000957205,0.000957205
42,608.71,1.30026,0.75432,0.90935,0.81466,0.70076,0.76292,0.43275,1.35119,0.85429,0.93508,0.000955072,0.000955072,0.000955072
43,622.449,1.30523,0.7567,0.91412,0.83433,0.65193,0.73487,0.40966,1.38495,0.86646,0.95363,0.000952889,0.000952889,0.000952889
44,635.912,1.29002,0.74698,0.91361,0.80645,0.65113,0.72446,0.39496,1.41328,0.90993,0.96227,0.000950658,0.000950658,0.000950658
45,649.261,1.30611,0.74781,0.91821,0.79733,0.66851,0.73293,0.3864,1.40421,0.87004,0.96017,0.000948377,0.000948377,0.000948377
46,666.127,1.31313,0.74411,0.91194,0.81321,0.68903,0.74786,0.42154,1.37698,0.8367,0.93387,0.000946048,0.000946048,0.000946048
47,679.501,1.28151,0.72897,0.90741,0.78753,0.68747,0.73554,0.41095,1.37953,0.87758,0.94015,0.000943671,0.000943671,0.000943671
48,695.792,1.31588,0.7639,0.91662,0.80276,0.67138,0.74432,0.42215,1.36085,0.82635,0.93355,0.000941245,0.000941245,0.000941245
49,709.351,1.29818,0.73622,0.90675,0.7826,0.58721,0.67041,0.37,1.43307,0.97273,0.95765,0.000938772,0.000938772,0.000938772
50,722.561,1.30458,0.73949,0.91471,0.77725,0.68298,0.7158,0.39732,1.39424,0.8552,0.96542,0.000936251,0.000936251,0.000936251
51,735.922,1.29192,0.73118,0.90801,0.80434,0.69061,0.74395,0.42324,1.37251,0.87758,0.93357,0.000933683,0.000933683,0.000933683
52,749.809,1.29238,0.72455,0.9052,0.80519,0.7079,0.7611,0.42537,1.36664,0.83469,0.94189,0.000931067,0.000931067,0.000931067
53,763.002,1.25874,0.72285,0.90573,0.77902,0.69219,0.73214,0.41287,1.35676,0.84061,0.94717,0.000928405,0.000928405,0.000928405
54,776.254,1.27768,0.73023,0.90976,0.817,0.69613,0.76065,0.42603,1.35162,0.82629,0.93488,0.000925697,0.000925697,0.000925697
