epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1215,1.69895,1.31472,1.04509,0.69589,0.59274,0.60597,0.32108,1.50692,1.03633,0.97171,0.000329412,0.000329412,0.00703529
2,27.8777,1.49502,0.97176,0.97194,0.76596,0.60458,0.66303,0.36453,1.46271,0.96148,0.95837,0.000662727,0.000662727,0.00403528
3,41.7516,1.44664,0.91676,0.9552,0.74254,0.58485,0.61927,0.34158,1.452,0.98402,0.96811,0.00099597,0.00099597,0.00103519
4,54.9237,1.44008,0.86743,0.95034,0.76277,0.66377,0.69497,0.38246,1.43213,0.88744,0.95635,0.000999756,0.000999756,0.000999756
5,68.2509,1.41686,0.84696,0.94494,0.78499,0.63536,0.70409,0.3947,1.41901,0.90047,0.9416,0.000999566,0.000999566,0.000999566
6,81.5073,1.37343,0.82338,0.92428,0.78555,0.6505,0.71175,0.38776,1.4347,0.91003,0.93945,0.000999322,0.000999322,0.000999322
7,94.6412,1.38389,0.82936,0.93305,0.77288,0.66608,0.70717,0.39837,1.38639,0.8804,0.93741,0.000999023,0.000999023,0.000999023
8,107.776,1.36968,0.80068,0.93113,0.79065,0.67561,0.72059,0.40511,1.38508,0.8698,0.93717,0.000998671,0.000998671,0.000998671
9,121.283,1.35743,0.80016,0.92306,0.80516,0.66298,0.72932,0.40321,1.39046,0.86361,0.93199,0.000998264,0.000998264,0.000998264
10,134.329,1.35438,0.79889,0.92139,0.80297,0.67009,0.73879,0.40613,1.39481,0.86372,0.92934,0.000997803,0.000997803,0.000997803
11,147.53,1.30988,0.75728,0.91022,0.76338,0.70166,0.73724,0.41754,1.35454,0.85097,0.92536,0.000997288,0.000997288,0.000997288
12,160.864,1.30886,0.7483,0.9147,0.78837,0.68505,0.73959,0.41363,1.3603,0.84711,0.9286,0.00099672,0.00099672,0.00099672
13,173.937,1.32497,0.76632,0.91496,0.81659,0.66765,0.73454,0.41713,1.35048,0.82461,0.93027,0.000996097,0.000996097,0.000996097
14,187.008,1.27932,0.72825,0.90281,0.83133,0.673,0.73363,0.41578,1.35403,0.81607,0.93562,0.00099542,0.00099542,0.00099542
15,200.366,1.28633,0.74222,0.90484,0.79241,0.67167,0.72897,0.40876,1.37662,0.86336,0.92465,0.00099469,0.00099469,0.00099469
16,213.361,1.27513,0.73637,0.90407,0.78416,0.67877,0.71514,0.41189,1.35801,0.84956,0.92315,0.000993906,0.000993906,0.000993906
17,226.347,1.27667,0.70514,0.90034,0.79949,0.68918,0.72768,0.41025,1.35573,0.85423,0.93324,0.000993068,0.000993068,0.000993068
18,239.321,1.28004,0.71487,0.90667,0.78866,0.72218,0.76439,0.42738,1.35395,0.79023,0.92588,0.000992177,0.000992177,0.000992177
19,252.646,1.26759,0.69503,0.89826,0.79146,0.68587,0.73519,0.41349,1.33783,0.82516,0.92034,0.000991232,0.000991232,0.000991232
20,265.749,1.27548,0.71873,0.90472,0.77974,0.71192,0.74578,0.42048,1.34847,0.80961,0.92911,0.000990234,0.000990234,0.000990234
21,279.175,1.2784,0.71698,0.89579,0.80868,0.69455,0.75497,0.42249,1.36162,0.81217,0.92512,0.000989183,0.000989183,0.000989183
22,292.406,1.26228,0.70615,0.89816,0.81134,0.7026,0.74749,0.41639,1.37322,0.79892,0.93377,0.000988079,0.000988079,0.000988079
23,305.563,1.22741,0.69312,0.8907,0.81437,0.70288,0.76064,0.42954,1.32323,0.80385,0.91861,0.000986922,0.000986922,0.000986922
24,318.753,1.23027,0.70108,0.89165,0.79582,0.7135,0.7545,0.42587,1.34247,0.79158,0.9219,0.000985711,0.000985711,0.000985711
25,331.897,1.23312,0.69424,0.88352,0.79568,0.70639,0.75586,0.43107,1.32748,0.77889,0.91912,0.000984449,0.000984449,0.000984449
26,345.151,1.22644,0.69508,0.88594,0.81112,0.72194,0.77075,0.42743,1.32655,0.78986,0.926,0.000983133,0.000983133,0.000983133
27,358.523,1.23181,0.68272,0.88898,0.80107,0.70877,0.76352,0.43482,1.31218,0.78018,0.92658,0.000981765,0.000981765,0.000981765
28,371.727,1.22928,0.67985,0.89145,0.79676,0.7056,0.74976,0.42978,1.32529,0.80528,0.92031,0.000980345,0.000980345,0.000980345
29,384.829,1.20152,0.65407,0.88569,0.82325,0.68376,0.756,0.43513,1.33316,0.77944,0.91936,0.000978873,0.000978873,0.000978873
30,398.205,1.20314,0.66368,0.87753,0.79914,0.70966,0.76234,0.43048,1.34254,0.78452,0.93267,0.000977349,0.000977349,0.000977349
31,411.306,1.2092,0.66375,0.87601,0.797,0.69376,0.7517,0.41462,1.40791,0.83052,0.93833,0.000975773,0.000975773,0.000975773
32,424.454,1.20187,0.65546,0.87659,0.82952,0.71432,0.7778,0.44771,1.31065,0.75773,0.91651,0.000974145,0.000974145,0.000974145
33,437.912,1.17379,0.64816,0.87873,0.82808,0.71665,0.7724,0.44311,1.31141,0.76555,0.91588,0.000972466,0.000972466,0.000972466
34,451.051,1.18834,0.65157,0.87258,0.78736,0.73402,0.76453,0.43102,1.33043,0.79466,0.92158,0.000970736,0.000970736,0.000970736
35,464.049,1.19096,0.65221,0.87906,0.8089,0.72849,0.76653,0.4358,1.30954,0.77341,0.91312,0.000968955,0.000968955,0.000968955
36,477.105,1.20755,0.66042,0.88194,0.8132,0.70008,0.75982,0.43239,1.33089,0.78264,0.92679,0.000967122,0.000967122,0.000967122
37,490.224,1.16755,0.64258,0.87243,0.81999,0.70826,0.75314,0.42706,1.34014,0.77782,0.92698,0.000965239,0.000965239,0.000965239
38,503.329,1.16905,0.64205,0.8785,0.82974,0.70773,0.76929,0.43833,1.33535,0.76005,0.92191,0.000963306,0.000963306,0.000963306
