epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0458,1.62228,1.66733,1.00102,0.62804,0.53706,0.52206,0.20764,1.88243,1.59517,1.0706,0.000329412,0.000329412,0.00703529
2,49.826,1.62999,1.12924,1.01956,0.64406,0.44909,0.46767,0.21917,1.85881,2.0273,1.11859,0.000662727,0.000662727,0.00403528
3,63.3574,1.66154,1.21382,1.04409,0.59604,0.4961,0.46931,0.22808,1.70823,1.6352,1.10311,0.00099597,0.00099597,0.00103519
4,76.7708,1.68108,1.15766,1.03829,0.63408,0.45383,0.46449,0.21346,1.77696,1.39884,1.08752,0.000999756,0.000999756,0.000999756
5,90.0321,1.68866,1.15021,1.04751,0.66994,0.53039,0.54623,0.27617,1.68568,1.53554,1.0726,0.000999566,0.000999566,0.000999566
6,103.499,1.63053,1.08531,1.0174,0.68355,0.60458,0.59971,0.29707,1.65478,1.48191,1.02774,0.000999322,0.000999322,0.000999322
7,116.977,1.6093,1.08036,1.017,0.71234,0.58958,0.62323,0.30957,1.60467,1.24484,1.03728,0.000999023,0.000999023,0.000999023
8,130.23,1.60256,1.04978,1.02087,0.70036,0.56669,0.59926,0.30335,1.61768,1.13068,1.02342,0.000998671,0.000998671,0.000998671
9,143.262,1.61453,1.04996,1.02705,0.718,0.62097,0.64351,0.32573,1.54166,1.13197,1.02791,0.000998264,0.000998264,0.000998264
10,156.661,1.5847,1.04677,1.00906,0.71136,0.59133,0.6265,0.29375,1.6679,1.26344,1.03868,0.000997803,0.000997803,0.000997803
11,169.779,1.53855,0.97411,0.986,0.74695,0.60107,0.63361,0.32635,1.55729,1.02477,1.00109,0.000997288,0.000997288,0.000997288
12,183.1,1.52561,0.97152,0.99498,0.7208,0.63536,0.66097,0.34007,1.57379,1.13285,1.01371,0.00099672,0.00099672,0.00099672
13,196.323,1.53867,0.96938,0.99794,0.10227,0.62589,0.08149,0.03718,1.5681,4.66675,0.99826,0.000996097,0.000996097,0.000996097
14,209.496,1.46935,0.93233,0.9813,0.72767,0.62847,0.6616,0.338,1.54372,1.03777,1.01234,0.00099542,0.00099542,0.00099542
15,222.651,1.47824,0.93533,0.97709,0.73103,0.61994,0.65925,0.32878,1.56794,1.12321,1.01527,0.00099469,0.00099469,0.00099469
16,235.881,1.47841,0.92179,0.97969,0.77002,0.61309,0.6554,0.33981,1.54493,1.03942,1.00777,0.000993906,0.000993906,0.000993906
17,248.768,1.47452,0.90528,0.97429,0.73738,0.6472,0.68067,0.35293,1.54753,1.0287,1.00159,0.000993068,0.000993068,0.000993068
18,261.762,1.45854,0.89159,0.97803,0.73383,0.63975,0.67087,0.34675,1.51858,0.95885,0.99246,0.000992177,0.000992177,0.000992177
19,274.809,1.44134,0.87672,0.96197,0.71938,0.63694,0.66963,0.35093,1.50465,0.99103,1.00216,0.000991232,0.000991232,0.000991232
20,287.927,1.46284,0.88944,0.97611,0.77407,0.65439,0.68515,0.36689,1.49552,0.94991,0.99711,0.000990234,0.000990234,0.000990234
21,301.245,1.44932,0.89727,0.95933,0.75299,0.63038,0.68618,0.35504,1.53194,0.9865,0.99992,0.000989183,0.000989183,0.000989183
22,314.603,1.43693,0.88477,0.9616,0.7745,0.64088,0.68092,0.36743,1.48665,0.96756,0.98611,0.000988079,0.000988079,0.000988079
23,327.987,1.3893,0.84777,0.9469,0.7489,0.6764,0.7038,0.38309,1.47032,0.94426,0.98347,0.000986922,0.000986922,0.000986922
24,341.401,1.40707,0.87179,0.95776,0.75842,0.66655,0.70115,0.37331,1.45768,0.95832,0.96122,0.000985711,0.000985711,0.000985711
25,354.573,1.41246,0.83824,0.94188,0.76043,0.65889,0.70286,0.37477,1.46335,1.02651,0.97629,0.000984449,0.000984449,0.000984449
