epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.825,1.75213,1.3676,1.16802,0.65407,0.49566,0.49868,0.22538,1.75925,1.4629,1.04253,0.00033268,0.00033268,0.00700588
2,148.685,1.7919,1.30029,1.20004,0.65821,0.53197,0.53994,0.25274,1.72342,1.57515,1.03839,0.000665995,0.000665995,0.00400586
3,218.108,1.78575,1.28096,1.19178,0.67158,0.49645,0.50227,0.24498,1.676,1.33719,1.04265,0.000999238,0.000999238,0.00100577
4,286.206,1.75974,1.24174,1.17757,0.65323,0.55406,0.54761,0.26792,1.66993,1.26824,1.04483,0.000999756,0.000999756,0.000999756
5,354.605,1.70612,1.17827,1.15537,0.69326,0.52644,0.55838,0.27086,1.71154,1.18756,1.04395,0.000999566,0.000999566,0.000999566
6,423.671,1.67178,1.15046,1.14579,0.72228,0.54065,0.56317,0.27963,1.62752,1.12556,1.02423,0.000999322,0.000999322,0.000999322
7,491.967,1.65566,1.12423,1.13349,0.69587,0.57065,0.58779,0.29692,1.62515,1.13289,1.02003,0.000999023,0.000999023,0.000999023
8,560.523,1.63433,1.0968,1.12672,0.71151,0.54854,0.57693,0.29126,1.63087,1.14709,1.01236,0.000998671,0.000998671,0.000998671
9,628.539,1.62037,1.08355,1.117,0.7165,0.62115,0.62972,0.33613,1.49877,1.03977,0.97522,0.000998264,0.000998264,0.000998264
10,697.179,1.59146,1.06015,1.11026,0.72966,0.58248,0.61551,0.32835,1.54419,1.05375,0.98574,0.000997803,0.000997803,0.000997803
11,765.634,1.59485,1.05359,1.10361,0.74347,0.60773,0.65158,0.35065,1.47939,0.98493,0.97963,0.000997288,0.000997288,0.000997288
12,834.193,1.57321,1.0388,1.10271,0.76863,0.62929,0.68826,0.35975,1.47772,0.96053,0.97396,0.00099672,0.00099672,0.00099672
