epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,604.492,1.30142,0.75942,0.91105,0.80279,0.69719,0.75253,0.42012,1.35524,0.82109,0.94628,0.000955072,0.000955072,0.000955072
43,618.111,1.31002,0.75175,0.91885,0.75532,0.70324,0.73035,0.40168,1.40888,0.8748,0.94805,0.000952889,0.000952889,0.000952889
44,632.016,1.3188,0.75477,0.91424,0.78866,0.70166,0.74869,0.40347,1.40976,0.86069,0.9414,0.000950658,0.000950658,0.000950658
45,645.349,1.28567,0.73138,0.90965,0.78406,0.69771,0.74174,0.41184,1.36827,0.83198,0.93617,0.000948377,0.000948377,0.000948377
46,658.568,1.30161,0.73324,0.90788,0.76874,0.68193,0.72049,0.40419,1.38,0.8708,0.93598,0.000946048,0.000946048,0.000946048
47,675.488,1.2875,0.73002,0.90732,0.81774,0.67719,0.75091,0.4119,1.36266,0.82339,0.9394,0.000943671,0.000943671,0.000943671
48,688.827,1.30669,0.74284,0.91224,0.80135,0.68114,0.74713,0.42065,1.34463,0.84288,0.9311,0.000941245,0.000941245,0.000941245
49,702.501,1.29157,0.7321,0.90736,0.78844,0.65887,0.73201,0.4064,1.4071,0.87572,0.94456,0.000938772,0.000938772,0.000938772
50,715.553,1.30141,0.73846,0.91048,0.83027,0.67561,0.74676,0.42006,1.36965,0.84698,0.94592,0.000936251,0.000936251,0.000936251
51,728.83,1.29607,0.7327,0.90943,0.76807,0.70876,0.74367,0.41588,1.36746,0.85641,0.93522,0.000933683,0.000933683,0.000933683
52,742.929,1.30434,0.73669,0.90927,0.80759,0.67911,0.74712,0.41385,1.44599,0.84509,0.95195,0.000931067,0.000931067,0.000931067
53,756.258,1.2859,0.73103,0.91222,0.80014,0.7141,0.76614,0.43211,1.36052,0.82294,0.93756,0.000928405,0.000928405,0.000928405
54,770.006,1.28741,0.7444,0.90872,0.82707,0.68699,0.75215,0.41901,1.36,0.81632,0.92836,0.000925697,0.000925697,0.000925697
55,783.329,1.2811,0.72745,0.9059,0.78946,0.68508,0.74323,0.41192,1.39317,0.86775,0.94178,0.000922942,0.000922942,0.000922942
56,796.717,1.2771,0.72476,0.90635,0.80442,0.70481,0.75749,0.43286,1.31853,0.79253,0.92,0.000920142,0.000920142,0.000920142
57,810.616,1.28026,0.72465,0.90631,0.81738,0.69593,0.75691,0.42526,1.35377,0.81248,0.93215,0.000917296,0.000917296,0.000917296
58,823.911,1.2582,0.71152,0.90379,0.79419,0.68508,0.73915,0.4144,1.3488,0.84574,0.93685,0.000914405,0.000914405,0.000914405
59,837.292,1.26217,0.70405,0.90465,0.77695,0.69829,0.73913,0.41671,1.38229,0.86866,0.9319,0.000911469,0.000911469,0.000911469
60,854.19,1.27007,0.71624,0.89801,0.79328,0.72849,0.77407,0.43061,1.36219,0.80925,0.94279,0.000908488,0.000908488,0.000908488
61,870.93,1.2431,0.69362,0.8969,0.81562,0.71902,0.77137,0.4423,1.3095,0.78416,0.9192,0.000905463,0.000905463,0.000905463
62,889.367,1.23734,0.69125,0.90208,0.8423,0.67561,0.77022,0.42425,1.34748,0.83517,0.93153,0.000902395,0.000902395,0.000902395
63,905.739,1.29359,0.73161,0.90898,0.80743,0.69929,0.75738,0.42527,1.34466,0.86467,0.92788,0.000899282,0.000899282,0.000899282
64,919.147,1.26277,0.71064,0.89696,0.80934,0.71027,0.77425,0.44363,1.33431,0.81938,0.92266,0.000896127,0.000896127,0.000896127
65,932.739,1.22701,0.68675,0.89213,0.80643,0.71586,0.76848,0.42917,1.35833,0.79807,0.9277,0.000892928,0.000892928,0.000892928
66,947.984,1.21463,0.67327,0.88812,0.80451,0.71665,0.76895,0.43752,1.30906,0.77961,0.92831,0.000889687,0.000889687,0.000889687
67,964.377,1.21528,0.68504,0.89265,0.78955,0.6985,0.75424,0.42434,1.36384,0.82491,0.94253,0.000886404,0.000886404,0.000886404
68,977.689,1.21891,0.6877,0.89384,0.80855,0.70335,0.76161,0.43134,1.34218,0.82627,0.93259,0.000883079,0.000883079,0.000883079
69,994.457,1.22795,0.69872,0.89569,0.85116,0.68429,0.77381,0.43397,1.35302,0.81394,0.93204,0.000879713,0.000879713,0.000879713
70,1007.8,1.22575,0.69346,0.89327,0.79065,0.73244,0.77057,0.44216,1.31486,0.78056,0.91859,0.000876305,0.000876305,0.000876305
71,1022.43,1.21978,0.67329,0.88762,0.80663,0.69139,0.75147,0.42196,1.36468,0.83075,0.93353,0.000872857,0.000872857,0.000872857
72,1036.57,1.22635,0.66938,0.89534,0.81965,0.69589,0.76102,0.43715,1.3347,0.80261,0.93052,0.000869368,0.000869368,0.000869368
73,1049.95,1.20606,0.67355,0.888,0.81898,0.65706,0.72541,0.40384,1.38582,0.84464,0.94586,0.000865839,0.000865839,0.000865839
74,1063.22,1.21354,0.67901,0.89467,0.79726,0.71698,0.76714,0.42642,1.38796,0.81185,0.93792,0.000862271,0.000862271,0.000862271
75,1076.53,1.20215,0.65919,0.88036,0.81298,0.72139,0.77712,0.44236,1.3159,0.80099,0.9295,0.000858664,0.000858664,0.000858664
76,1089.94,1.20304,0.66463,0.88177,0.80148,0.71271,0.76511,0.42829,1.35894,0.80438,0.93473,0.000855018,0.000855018,0.000855018
77,1103.26,1.18684,0.66233,0.88228,0.78116,0.71271,0.76881,0.43585,1.3603,0.80043,0.94208,0.000851333,0.000851333,0.000851333
78,1116.36,1.19804,0.66432,0.88337,0.82639,0.72507,0.77703,0.4467,1.33396,0.78471,0.93196,0.000847611,0.000847611,0.000847611
79,1130.06,1.20213,0.65472,0.88567,0.8353,0.7125,0.77894,0.44573,1.32625,0.77232,0.92836,0.000843851,0.000843851,0.000843851
80,1143.48,1.19984,0.66366,0.88652,0.80689,0.70481,0.76752,0.43652,1.3367,0.76666,0.92626,0.000840054,0.000840054,0.000840054
81,1156.84,1.17892,0.6403,0.88211,0.82304,0.71981,0.78107,0.44771,1.30894,0.75737,0.91888,0.00083622,0.00083622,0.00083622
82,1171.22,1.16943,0.63479,0.88177,0.83845,0.70324,0.78381,0.44354,1.32865,0.80195,0.92866,0.000832349,0.000832349,0.000832349
83,1186.72,1.17871,0.64752,0.87958,0.82352,0.71113,0.77101,0.43797,1.32658,0.76469,0.9301,0.000828443,0.000828443,0.000828443
84,1200.17,1.16594,0.6342,0.8764,0.82081,0.73007,0.78276,0.44622,1.33866,0.77878,0.93372,0.000824502,0.000824502,0.000824502
85,1213.62,1.16011,0.63787,0.87281,0.83095,0.71902,0.77363,0.44293,1.33097,0.78002,0.93169,0.000820525,0.000820525,0.000820525
86,1227.12,1.16339,0.62467,0.87424,0.82431,0.72612,0.78578,0.45437,1.30663,0.76202,0.93164,0.000816514,0.000816514,0.000816514
87,1240.79,1.16379,0.62806,0.87297,0.84657,0.71113,0.77523,0.44335,1.31519,0.766,0.92406,0.000812468,0.000812468,0.000812468
88,1254.53,1.16976,0.63553,0.88149,0.81385,0.73244,0.78783,0.44819,1.31287,0.77058,0.92346,0.000808389,0.000808389,0.000808389
89,1267.92,1.16822,0.634,0.87797,0.80467,0.73323,0.76952,0.43108,1.35331,0.80631,0.92306,0.000804277,0.000804277,0.000804277
90,1281.3,1.15408,0.63167,0.87447,0.80377,0.73481,0.77296,0.4444,1.32937,0.77139,0.93028,0.000800131,0.000800131,0.000800131
91,1297.46,1.15519,0.62476,0.86636,0.83712,0.70718,0.77169,0.4491,1.28576,0.7675,0.91608,0.000795954,0.000795954,0.000795954
92,1311.57,1.13634,0.61961,0.86776,0.82542,0.71744,0.7779,0.44923,1.31945,0.76918,0.92173,0.000791744,0.000791744,0.000791744
93,1324.88,1.16238,0.62011,0.87796,0.81359,0.73165,0.78094,0.44864,1.30345,0.75248,0.91825,0.000787503,0.000787503,0.000787503
94,1338.32,1.14454,0.62325,0.8713,0.80639,0.74743,0.79101,0.45407,1.31059,0.76395,0.91734,0.000783231,0.000783231,0.000783231
95,1351.8,1.12917,0.61486,0.87127,0.82492,0.71823,0.77714,0.43999,1.34173,0.789,0.92457,0.000778929,0.000778929,0.000778929
96,1365.15,1.13773,0.61016,0.86733,0.82177,0.72054,0.78301,0.45197,1.31222,0.75756,0.9198,0.000774596,0.000774596,0.000774596
97,1378.46,1.1256,0.61573,0.87274,0.82,0.74429,0.79737,0.46178,1.30789,0.73993,0.93425,0.000770234,0.000770234,0.000770234
98,1391.95,1.16347,0.63024,0.87345,0.83415,0.72643,0.79037,0.44764,1.3228,0.75312,0.92841,0.000765843,0.000765843,0.000765843
99,1405.33,1.14134,0.6167,0.87181,0.83941,0.70958,0.78365,0.45079,1.32792,0.76336,0.92854,0.000761423,0.000761423,0.000761423
100,1418.81,1.11562,0.59997,0.87231,0.80668,0.72297,0.76777,0.45045,1.3215,0.78147,0.92453,0.000756976,0.000756976,0.000756976
101,1432.07,1.12799,0.61344,0.86941,0.83381,0.73639,0.79335,0.45958,1.32448,0.77053,0.92007,0.0007525,0.0007525,0.0007525
102,1448.3,1.14118,0.62163,0.87198,0.80652,0.73481,0.78659,0.44683,1.33347,0.77006,0.92506,0.000747997,0.000747997,0.000747997
103,1461.71,1.12196,0.60996,0.86899,0.8287,0.74074,0.78463,0.45044,1.32056,0.7691,0.92517,0.000743468,0.000743468,0.000743468
