epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8347,1.75729,1.3605,1.1673,0.66996,0.51302,0.55865,0.27366,1.72481,1.27754,1.01202,0.00033268,0.00033268,0.00700588
2,156.417,1.80226,1.30384,1.19909,0.62159,0.50276,0.51823,0.23697,1.78039,1.28072,1.03601,0.000665995,0.000665995,0.00400586
3,226.03,1.79241,1.28138,1.19424,0.65808,0.52013,0.52478,0.25076,1.73093,1.27276,1.05414,0.000999238,0.000999238,0.00100577
4,294.798,1.76113,1.23867,1.17393,0.68733,0.53197,0.55327,0.26991,1.67177,1.30857,1.03513,0.000999756,0.000999756,0.000999756
5,363.413,1.70314,1.17215,1.15104,0.68443,0.57932,0.60405,0.29797,1.63982,1.15095,1.0101,0.000999566,0.000999566,0.000999566
6,432.451,1.6731,1.14847,1.14205,0.71885,0.57459,0.60028,0.30253,1.61427,1.08989,1.02252,0.000999322,0.000999322,0.000999322
7,500.908,1.65374,1.11968,1.12987,0.70131,0.59984,0.61685,0.31561,1.55143,1.13002,0.98902,0.000999023,0.000999023,0.000999023
8,569.399,1.63302,1.08898,1.12245,0.71261,0.5695,0.59066,0.30657,1.56239,1.06789,1.01605,0.000998671,0.000998671,0.000998671
9,637.732,1.61929,1.07747,1.11252,0.71586,0.59455,0.62009,0.32303,1.55673,1.08416,0.99248,0.000998264,0.000998264,0.000998264
10,706.093,1.59538,1.05365,1.11092,0.72284,0.59694,0.62697,0.32459,1.57392,1.07019,1.00007,0.000997803,0.000997803,0.000997803
11,774.845,1.59377,1.05032,1.10227,0.71028,0.60952,0.62749,0.32831,1.53287,0.98385,0.98546,0.000997288,0.000997288,0.000997288
12,843.751,1.56961,1.04071,1.09986,0.73681,0.60695,0.63813,0.33579,1.50947,1.072,0.99014,0.00099672,0.00099672,0.00099672
13,912.172,1.56327,1.02248,1.09414,0.77096,0.59984,0.66586,0.35187,1.50528,1.0455,0.97389,0.000996097,0.000996097,0.000996097
14,980.995,1.54628,0.99907,1.08744,0.75069,0.61721,0.67088,0.35954,1.46056,0.99732,0.95895,0.00099542,0.00099542,0.00099542
15,1049.65,1.54307,0.99675,1.08799,0.75295,0.63141,0.67699,0.36305,1.47596,0.95035,0.97754,0.00099469,0.00099469,0.00099469
16,1118.18,1.53344,0.98975,1.08204,0.72738,0.65983,0.68229,0.37594,1.44416,0.95347,0.96404,0.000993906,0.000993906,0.000993906
17,1187.12,1.52033,0.98932,1.0772,0.73591,0.68114,0.69274,0.37985,1.44398,0.92174,0.95696,0.000993068,0.000993068,0.000993068
18,1255.86,1.52592,0.97241,1.07602,0.76018,0.65193,0.67955,0.37013,1.45001,0.92339,0.95028,0.000992177,0.000992177,0.000992177
19,1323.79,1.5219,0.97239,1.07592,0.74509,0.65667,0.68224,0.36997,1.48052,0.93014,0.96068,0.000991232,0.000991232,0.000991232
20,1392.31,1.50545,0.96406,1.0704,0.78282,0.63725,0.70016,0.37983,1.43003,0.92105,0.95566,0.000990234,0.000990234,0.000990234
21,1460.81,1.50082,0.96007,1.07214,0.74891,0.65904,0.68884,0.37547,1.45144,0.92573,0.95293,0.000989183,0.000989183,0.000989183
22,1529,1.4978,0.9526,1.06578,0.77929,0.6744,0.71248,0.39203,1.40851,0.91986,0.94655,0.000988079,0.000988079,0.000988079
23,1598.38,1.49105,0.94775,1.06633,0.77728,0.67485,0.70273,0.38035,1.42787,0.91047,0.95349,0.000986922,0.000986922,0.000986922
24,1666.71,1.49251,0.95239,1.06493,0.76603,0.65118,0.69381,0.38424,1.40816,0.90646,0.94156,0.000985711,0.000985711,0.000985711
25,1735.02,1.47834,0.93367,1.05971,0.77766,0.67082,0.7094,0.39215,1.40546,0.88741,0.9427,0.000984449,0.000984449,0.000984449
26,1804.03,1.47618,0.93049,1.0573,0.76913,0.65746,0.70664,0.39852,1.3915,0.88934,0.93694,0.000983133,0.000983133,0.000983133
27,1872.76,1.47313,0.93053,1.05722,0.77032,0.68035,0.71763,0.40154,1.39275,0.88469,0.93777,0.000981765,0.000981765,0.000981765
28,1941.31,1.46047,0.92644,1.05659,0.76044,0.69771,0.73675,0.41294,1.39058,0.88336,0.93437,0.000980345,0.000980345,0.000980345
29,2009.52,1.46467,0.922,1.0499,0.79653,0.66535,0.71612,0.40567,1.38946,0.86856,0.94546,0.000978873,0.000978873,0.000978873
30,2077.24,1.46177,0.91738,1.05214,0.79018,0.68363,0.72955,0.40728,1.37375,0.84382,0.93427,0.000977349,0.000977349,0.000977349
31,2146,1.45256,0.90332,1.04884,0.79866,0.68272,0.72635,0.41206,1.37805,0.85486,0.94115,0.000975773,0.000975773,0.000975773
32,2214.4,1.44664,0.90232,1.05108,0.78701,0.68243,0.72468,0.40959,1.38058,0.83752,0.93259,0.000974145,0.000974145,0.000974145
33,2283.14,1.44247,0.89954,1.04399,0.80879,0.67437,0.74082,0.42055,1.35692,0.82554,0.93553,0.000972466,0.000972466,0.000972466
