epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4641,1.7222,1.29523,1.05215,0.70641,0.57459,0.61038,0.32338,1.50652,1.03964,0.9771,0.000329412,0.000329412,0.00703529
2,37.9509,1.50251,0.98647,0.97271,0.74958,0.618,0.66582,0.35483,1.48646,0.99988,0.9558,0.000662727,0.000662727,0.00403528
3,51.2753,1.44939,0.92244,0.95018,0.77374,0.63694,0.68502,0.36618,1.48045,0.95159,0.95087,0.00099597,0.00099597,0.00103519
4,64.5587,1.44521,0.87786,0.94884,0.76103,0.64325,0.68695,0.37362,1.44679,0.93954,0.95151,0.000999756,0.000999756,0.000999756
5,77.8543,1.42651,0.8643,0.94426,0.7398,0.6575,0.70557,0.39272,1.41283,0.93601,0.94159,0.000999566,0.000999566,0.000999566
6,91.024,1.39686,0.82847,0.93018,0.78152,0.63378,0.69165,0.38118,1.38554,0.87892,0.93989,0.000999322,0.000999322,0.000999322
7,103.869,1.38104,0.81977,0.93382,0.78394,0.66535,0.72527,0.38979,1.43184,0.91207,0.94371,0.000999023,0.000999023,0.000999023
8,117.008,1.36765,0.79494,0.92787,0.78668,0.64009,0.7109,0.39511,1.41305,0.87819,0.94825,0.000998671,0.000998671,0.000998671
9,130.514,1.35447,0.79767,0.92402,0.80756,0.65588,0.71377,0.40818,1.37381,0.86745,0.92723,0.000998264,0.000998264,0.000998264
10,143.913,1.3511,0.78759,0.92217,0.77685,0.68966,0.73655,0.41203,1.38171,0.83568,0.93444,0.000997803,0.000997803,0.000997803
11,157.375,1.325,0.76403,0.91137,0.80506,0.66818,0.72856,0.40517,1.3738,0.84764,0.9312,0.000997288,0.000997288,0.000997288
12,170.586,1.31203,0.76642,0.9132,0.76461,0.69376,0.72649,0.39619,1.39342,0.87153,0.9307,0.00099672,0.00099672,0.00099672
13,183.696,1.32803,0.76224,0.91375,0.79676,0.64977,0.71176,0.40473,1.37484,0.86224,0.93186,0.000996097,0.000996097,0.000996097
14,196.671,1.28436,0.7376,0.90458,0.78755,0.6835,0.73258,0.40482,1.37556,0.82471,0.9487,0.00099542,0.00099542,0.00099542
15,209.773,1.29696,0.75248,0.90744,0.77925,0.70481,0.74477,0.41703,1.36314,0.83426,0.92617,0.00099469,0.00099469,0.00099469
16,222.864,1.28171,0.73717,0.90244,0.7419,0.71011,0.73968,0.41255,1.37111,0.82422,0.93096,0.000993906,0.000993906,0.000993906
