epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.149,1.35749,0.82802,0.92682,0.74834,0.64562,0.68236,0.34506,1.49242,0.9852,0.97384,0.000333181,0.000333181,0.00700137
2,633.65,1.35298,0.76983,0.92665,0.77567,0.68824,0.7341,0.40898,1.40289,0.89859,0.94076,0.000666496,0.000666496,0.00400135
3,925.883,1.30498,0.72754,0.91312,0.81295,0.68263,0.74376,0.41094,1.4041,0.88095,0.94554,0.000999739,0.000999739,0.00100126
4,1213.7,1.25595,0.67622,0.89791,0.76928,0.71192,0.75509,0.43417,1.30948,0.79994,0.91545,0.000999756,0.000999756,0.000999756
5,1503.07,1.21125,0.63796,0.88685,0.80174,0.7427,0.78117,0.45136,1.29806,0.77095,0.9137,0.000999566,0.000999566,0.000999566
6,1790.77,1.1653,0.60289,0.87706,0.83785,0.7259,0.7855,0.44481,1.29272,0.75882,0.91305,0.000999322,0.000999322,0.000999322
7,2078.31,1.13505,0.57706,0.8697,0.83412,0.74218,0.78415,0.45641,1.2729,0.73151,0.9184,0.000999023,0.000999023,0.000999023
8,2366.66,1.10962,0.55943,0.86313,0.84666,0.74428,0.7987,0.45929,1.27124,0.72293,0.90952,0.000998671,0.000998671,0.000998671
9,2655.21,1.08084,0.53888,0.85572,0.81585,0.76401,0.8039,0.4698,1.25725,0.71703,0.9122,0.000998264,0.000998264,0.000998264
10,2943.44,1.04566,0.51966,0.85105,0.83891,0.75218,0.79418,0.46491,1.25187,0.72682,0.90705,0.000997803,0.000997803,0.000997803
11,3230.81,1.02956,0.50668,0.84705,0.84257,0.74507,0.80124,0.47049,1.25014,0.72879,0.91358,0.000997288,0.000997288,0.000997288
12,3519.51,1.00579,0.49296,0.84364,0.83577,0.76875,0.79705,0.47585,1.2284,0.72153,0.90127,0.00099672,0.00099672,0.00099672
13,3807.16,0.9825,0.48051,0.83817,0.83263,0.76243,0.7863,0.46571,1.24013,0.73144,0.90346,0.000996097,0.000996097,0.000996097
14,4095.58,0.95681,0.46543,0.83283,0.8484,0.74206,0.78891,0.46911,1.23085,0.73757,0.90222,0.00099542,0.00099542,0.00099542
15,4384.54,0.94145,0.457,0.83073,0.81477,0.7648,0.7869,0.46587,1.23531,0.74524,0.90194,0.00099469,0.00099469,0.00099469
16,4674.33,0.91908,0.44527,0.82712,0.8228,0.76595,0.78487,0.46472,1.22517,0.759,0.90218,0.000993906,0.000993906,0.000993906
17,4963.37,0.90153,0.43704,0.82465,0.84292,0.76658,0.78891,0.46472,1.2226,0.73515,0.90136,0.000993068,0.000993068,0.000993068
18,5252.62,0.88038,0.42752,0.82157,0.86088,0.75217,0.78371,0.46305,1.23697,0.75983,0.90884,0.000992177,0.000992177,0.000992177
19,5541.48,0.86509,0.41874,0.81866,0.83785,0.75038,0.77697,0.46092,1.22392,0.77835,0.90282,0.000991232,0.000991232,0.000991232
20,5830.68,0.85725,0.41499,0.81729,0.8385,0.75059,0.77556,0.45979,1.23346,0.77166,0.91411,0.000990234,0.000990234,0.000990234
21,6118.64,0.83635,0.4048,0.81412,0.83128,0.76322,0.77596,0.46279,1.23765,0.78123,0.91617,0.000989183,0.000989183,0.000989183
22,6406.63,0.82382,0.39799,0.81166,0.8558,0.75413,0.77556,0.45975,1.24301,0.79189,0.91778,0.000988079,0.000988079,0.000988079
23,6698.48,0.8074,0.39095,0.80938,0.84712,0.74349,0.76675,0.4598,1.24792,0.79053,0.91885,0.000986922,0.000986922,0.000986922
24,6989.57,0.79646,0.38544,0.80935,0.83848,0.75691,0.76952,0.45974,1.24635,0.78836,0.91795,0.000985711,0.000985711,0.000985711
25,7282.33,0.78576,0.3819,0.8072,0.83495,0.76259,0.77084,0.45831,1.24312,0.78792,0.91712,0.000984449,0.000984449,0.000984449
26,7580.75,0.76744,0.37349,0.80512,0.84221,0.7498,0.76846,0.45775,1.24489,0.78594,0.91754,0.000983133,0.000983133,0.000983133
27,7877.3,0.75878,0.36948,0.80413,0.84529,0.75036,0.768,0.45711,1.24304,0.79092,0.91605,0.000981765,0.000981765,0.000981765
28,8170.33,0.7529,0.36657,0.80346,0.84666,0.74518,0.7669,0.45677,1.24184,0.79527,0.91681,0.000980345,0.000980345,0.000980345
29,8459.29,0.74629,0.36404,0.80169,0.84363,0.73954,0.76622,0.45627,1.24312,0.79877,0.91814,0.000978873,0.000978873,0.000978873
30,8748.57,0.73116,0.3569,0.79988,0.85218,0.73639,0.76292,0.45518,1.24226,0.80091,0.91951,0.000977349,0.000977349,0.000977349
31,9036.95,0.72374,0.35448,0.79915,0.84982,0.74033,0.76218,0.45404,1.2445,0.79967,0.91898,0.000975773,0.000975773,0.000975773
32,9325.22,0.71395,0.34819,0.79753,0.84611,0.74428,0.76769,0.45446,1.24631,0.80453,0.91957,0.000974145,0.000974145,0.000974145
